ID,FirstName,LastName,Age,Alumni,MarriedToAlum,StudentOrg,Volunteer,Affiliations,EventCount,AvgGivingLast5Yrs,MajorGiftProspect,GiftCount,CapacityValue
4,Ari,Stark,34,1,1,0,0,1,1,1417,0,6,21129
5,Addison,Parrish,56,1,1,0,0,0,1,179,0,11,22679
7,Milan,Hendricks,34,1,0,0,0,0,0,417,0,1,22678
8,Ayaan,Parsons,34,1,0,0,0,0,0,417,0,1,17547
13,Skylar,Blanchard,34,1,0,1,0,0,0,1333,0,8,15581
15,Landyn,Graves,34,1,1,0,0,0,0,417,0,1,16485
17,Braylee,Thornton,34,1,0,0,0,1,0,2583,0,28,22047
2930,Kaliyah,Cooke,60,0,0,1,0,2,1,4210,1,40,23157
3994,Jayceon,Dickson,35,1,1,0,0,1,0,541,0,15,17460
5578,Ryan,Arellano,86,1,0,1,0,0,0,55,0,26,20714
6842,Bentley,Shannon,88,1,1,2,1,3,12,2195,1,159,36294
7154,Leon,Collins,62,1,0,0,0,3,3,2286,0,58,37400
18555,Elora,Travis,76,1,0,0,0,1,0,379,0,59,23702
19761,Maison,Whitehead,76,1,0,0,0,0,1,123,0,32,41553
63183,Drew,Mendoza,72,1,0,1,0,1,0,88,0,13,45443
101347,Kane,Raymond,72,1,1,0,0,1,0,57,0,28,46161
102502,Cesar,Donovan,71,1,1,0,0,1,0,134,0,9,49923
103025,Terry,Fritz,56,1,0,0,0,1,0,253,0,35,3814
135341,Rene,Mckinney,44,1,0,0,0,1,0,466,0,17,14276
136529,Braylon,Robles,86,0,0,0,0,2,5,5919,1,109,38354
140330,Santos,Holloway,59,1,0,0,0,1,0,383,0,15,49917
171563,Emmalynn,Greer,36,1,1,0,0,0,0,753,0,16,8066
177534,Jacqueline,Bautista,66,0,0,0,0,0,0,276,0,7,21721
291136,Kylan,Ritter,34,1,0,1,0,1,0,750,0,10,19120
291566,Analia,Sullivan,83,1,1,1,0,0,0,178,0,9,9792
313214,Aldo,Long,46,1,0,0,0,1,0,767,0,21,46207
321035,Clayton,Sweeney,43,1,0,0,0,0,0,200,0,9,19619
338096,Rowen,Fitzpatrick,82,0,0,0,0,0,0,399,0,38,6011
373224,Duncan,Woodward,68,1,0,0,0,0,0,620,0,89,2425
389207,Jerome,Choi,57,0,0,0,0,0,0,262,0,3,3305
443713,Elin,Vance,79,1,0,0,0,1,1,73,0,20,43606
448178,Cameron,Vaughan,30,0,0,0,0,0,0,11250,0,1,2787
458218,Frida,Rodriguez,73,1,0,0,0,0,0,223,0,17,17107
520669,Louie,Schneider,58,1,0,0,1,1,5,1258,0,66,8739
544146,Samir,Hodges,61,1,0,0,1,2,2,4725,1,57,58553
587252,Lennox,Patterson,55,0,0,0,0,0,0,602,0,3,2133
587935,Savannah,Bautista,41,1,1,1,0,0,0,208,0,14,21119
614483,Rhea,Jacobson,49,0,0,0,0,3,0,6101,1,14,37375
640871,Esmeralda,Gray,66,1,0,0,0,1,1,1270,0,88,43581
658210,Aliya,Ramos,62,1,0,0,0,0,0,295,0,29,32245
666900,Briar,Bird,69,1,0,2,1,6,22,3786,1,87,78919
677425,Louisa,Christian,78,1,1,0,0,1,0,50,0,15,32139
703187,Kobe,Diaz,59,1,0,2,2,0,1,90,0,20,8824
840664,Jacob,Weaver,65,1,0,1,0,0,0,147,0,14,27308
850946,Jessa,Mckee,61,1,0,1,0,1,2,1983,0,26,29680
886365,Donovan,Ball,68,1,0,0,0,1,0,88,0,12,48884
